"Code de la circonscription AFE";"Libellé la circonscription AFE";"Code de la circonscription consulaire";"Libellé de la circonscription consulaire";"Nom de l'élu";"Prénom de l'élu";"Code sexe";"Date de naissance";"Lieu de naissance";"Code de la catégorie socio-professionnelle";"Libellé de la catégorie socio-professionnelle";"Date de début du mandat";"Libellé de la fonction";"Date de début de la fonction"
3;"Amérique latine et Caraïbes";309;"Equateur";"BRICARD";"Tannya";"F";1965-04-23;"EQUATEUR";37;"Cadre administratif et commercial d'entreprise";2021-05-31;"Président du conseil consulaire";2021-06-29
3;"Amérique latine et Caraïbes";309;"Equateur";"DU PARC";"Yves";"M";1984-04-08;"PARIS 14E ARRONDISSEMENT";22;"Commerçant et assimilé";2021-05-31;;
3;"Amérique latine et Caraïbes";310;"Guatemala, Salvador";"KAHN";"Alain";"M";1970-02-24;"SALVADOR";22;"Commerçant et assimilé";2021-05-31;"Président du conseil consulaire";2021-09-18
3;"Amérique latine et Caraïbes";311;"Haïti";"CHIGNARD ÉPOUSE PAUL";"Christelle";"F";1975-04-18;"HAÏTI";22;"Commerçant et assimilé";2021-05-31;"Président du conseil consulaire";2021-06-25
3;"Amérique latine et Caraïbes";312;"Mexique";"CHARRIER-ARGAILLOT";"Rémy";"M";1983-03-08;"FRANCE";31;"Profession libérale";2021-11-12;"Président du conseil consulaire";2023-08-08
3;"Amérique latine et Caraïbes";312;"Mexique";"RAMON-DÉCHELETTE";"Véronique";"F";1970-05-14;"PARAGUAY";37;"Cadre administratif et commercial d'entreprise";2021-05-31;;
3;"Amérique latine et Caraïbes";312;"Mexique";"SIGNORET";"Gérard";"M";1960-06-09;"MEXICO";23;"Chef d'entreprise de 10 salariés ou plus";2021-05-31;;
3;"Amérique latine et Caraïbes";312;"Mexique";"SUBERVILLE";"Geneviève";"F";1957-10-18;"MEXICO";72;"Ancien artisan, commerçant, chef d'entreprise";2021-05-31;;
3;"Amérique latine et Caraïbes";313;"Panama, Cuba, Jamaïque";"GIRALDOU";"Marion";"F";1980-10-13;"Toulouse";34;"Professeur, profession scientifique";2021-05-31;;
3;"Amérique latine et Caraïbes";313;"Panama, Cuba, Jamaïque";"GOERGLER";"Xavier";"M";1984-06-29;"Strasbourg";34;"Professeur, profession scientifique";2021-05-31;"Président du conseil consulaire";2021-06-23
